"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
413,NIRVANA SOLUTIONS INDIA PRIVATE LIMITED,DELHI,South Delhi,Other information technology and computer service activities n.e.c,Nirvana Financial Solutions Inc,U.S.A,"36,49,734.9900",47203.4148,Received in the Company
414,CASHGRAIL PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",MATRIX PARTNERS INDIA INVESTMENT III LLC,Mauritius,"36,49,690.0000",47202.8329,Received in the Company
415,HDFC SECURITIES LIMITED,MAHARASHTRA,Mumbai,"Security and commodity
contracts brokerage",AHMED ALI HUSAIN NALWALA,UAE,"36,83,312.4000",47176.8334,"Received in the
company"
416,QFIX INFOCOMM PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service",Pine Labs Limited,Singapore,"36,11,988.4600",46715.2245,"Received in the
Company"
,,,,activities n.e.c,,,,,
417,FICUS PAX PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc.",UFP Global Holdings Limited,United Kingdom,"35,70,852.8700",46183.2023,Received in the Company
418,KROSS KOMICS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other creative arts and entertainment activities,Kross Komics INC,South Korea,"35,26,250.0000",45606.3363,Received in the Company
419,Purple Panda Fashions Private Limited,DELHI,North West Delhi,"Manufacture of all types of textile
garments and clothing accessories",Sameer Taneja,Singapore,"33,32,738.7000",42686.5933,Received in the company
420,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Udupi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",HALINA SASTRY VANGALA,United Kingdom,"32,99,040.0000",42667.7427,Received in the Company
421,Aurus Ship Management Privaste Limited,MAHARASHTRA,Mumbai,Activities of employment placement agencies,Mr Martyn Philip Howard and Mrs Margaret Alexandra Howard,United Kingdom,"32,00,400.0000",41391.994,Brownfield
422,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Manufacture of other fabricated metal products
n.e.c.",GREENOAKS CAPITAL OPPORTUNITIES FUND II LP,Cayman Islands,"30,18,610.0000",38663.1504,Received in the company
423,Sathyam Green Power Private Limited,RAJASTHAN,Nagaur,"Electric power generation using other non
conventional sources",Focal Biomass Holdings Limited,Cyprus,"29,36,070.0000",38547.3914,Greenfield
424,Nineroot Technologies Private Limited,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Bhupesh Kumar,Singapore,"30,00,789.0000",38434.8943,Received in the company
425,MANNA HEALTHCARE PRIVATE LIMITED,DELHI,North West Delhi,Telephone based information services,Roundglass LLC,U.S.A,"29,10,021.0000",38205.3965,Received in the company
426,"CAPRICOAST HOME SOLUTIONS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Activities of interior decorators,RB INVESTMENTS PTE LTD,Singapore,"28,69,803.3000",37116.2608,"Received in the
Company"
427,GOOD ROOTS,TAMIL NADU,Chennai,Manufacture of,DSG Consumer Partners III,Mauritius,"28,83,032.0000",36926.6317,Received in
,KITCHENWARE PRIVATE LIMITED,,,"metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand- operated kitchen
appliances and accessories)",,,,,the company
428,ROOTER SPORTS TECHNOLOGIES PRIVATE LIMITED,DELHI,South Delhi,Other information service activities n.e.c.,LIGHTBOX VENTURES III,Mauritius,"28,72,396.0400",36790.4035,Received in the company
429,"CAPRICOAST HOME SOLUTIONS PRIVATE
LIMITED",KARNATAKA,Bengaluru,Activities of interior decorators,RB INVESTMENTS PTE LTD,Singapore,"28,69,803.3000",36757.195,"Received in the
company"
430,GRTSA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Three State Capital Pte. Ltd,Singapore,"27,96,864.0000",35822.9693,Received in the company
431,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Javelin Investments Private Limited,Mauritius,"27,43,674.2000",35141.7004,Received in the company
432,Ghack Technologies Private Limited,UTTAR PRADESH,Meerut,"Other information technology and
computer service activities n.e.c",GOPINATH LATPATE,U.S.A,"26,99,424.0000",34912.6803,Received in the Company
433,"HAPPYLOCATE RELOCATION SERVICES
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Management consultancy
activities",GOPINATH LATPATE,U.S.A,"25,54,458.0000",33037.7797,"Received in the
Company"
434,REDRIBBON ADVISORY SERVICES PRIVATE LIMITED,KERALA,Ernakulam,Activities auxiliary to financial service activities n.e.c.,Red Ribbon Asset Management PLC,United Kingdom,"25,00,000.0000",32822.2687,Received in the company
435,NOVAPRI LIFESCIENCE PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of pharmaceutical and medical goods,RENOVA GLOBAL PTE LTD,Singapore,"25,12,500.0000",32180.7605,Received in the company
436,Merabo Labs Private Limited,RAJASTHAN,Jaipur,Other non- specialised wholesale trade n.e.c.,"DF International Partners II, LLC",Cayman Islands,"24,78,993.0000",31751.594,Received in the company
437,Fourth Partner Energy Private Limited,TELANGANA,K.V.Rangareddy,Electric power generation using,The Rise Fund SF Pte Ltd,Singapore,"24,09,159.0000",31629.6256,Received in the
,,,,solar energy,,,,,company
438,FLEETX TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Providing software support and maintenance to the clients,BEENEXT EMERGING ASIA PTE LTD,Singapore,"23,61,800.0000",31007.8537,Received in the company
439,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Udupi,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",HALINA SASTRY VANGALA,United Kingdom,"23,03,640.0000",30244.2765,Received in the company
440,SAILFIN TECHNOLOGIES PRIVATE LIMITED,GUJARAT,Surat,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",SAILFIN TECHNOLOGIES INC.,U.S.A,"22,99,357.5000",30188.0519,Received in the company
441,SAILFIN TECHNOLOGIES PRIVATE LIMITED,GUJARAT,Surat,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",SAILFIN TECHNOLOGIES INC.,U.S.A,"22,98,897.6300",30182.0143,Received in the company
442,HDFC SECURITIES LIMITED,MAHARASHTRA,Mumbai,Security and commodity contracts brokerage,AHMED ALI HUSAIN NALWALA,UAE,"23,02,070.2700",29773.5529,Received in the Company
443,EMITEL TECHNOLOGIES (INDIA) PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Diconium Digital GMBH,Germany,"21,18,680.5500",27815.9609,Received in the company
444,GLOBUS OUTSOURCING PRIVATE LIMITED,GUJARAT,Ahmedabad,Activities of employment placement agencies,Nicholson Carter Limited,United Kingdom,"21,60,000.0000",27665.8478,Received in the company
445,MANZ INDIA PRIVATE LIMITED,DELHI,South Delhi,Combined office administrative service activities,MANZ AG,Germany,"21,26,250.0000",27499.6023,Received in the Company
446,NATUROHABIT PRIVATE LIMITED,DELHI,South West Delhi,"Manufacture of
cosmetics and toileteries (includes",SURGE VENTURES II,Mauritius,"19,12,112.9600",24730.0863,"Received in
the Company"
,,,,"manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath
salts and other bath prepa",,,,,
447,RAMPEX LABS PRIVATE LIMITED,TELANGANA,Medak,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",RANGA NB GORREPATI,U.S.A,"18,57,030.0000",24017.6773,Received in the Company
448,INFO ORIGIN TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Gondia,"Providing software support and
maintenance to the clients",Info Origin Inc,U.S.A,"18,41,350.0000",23584.4948,Received in the company
449,BANDRA SOAP PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed bath bath salts and other bath
prepa",The G.O.A.T. Brand Labs Pte. Ltd,Singapore,"17,45,649.5000",22918.4708,Received in the company
450,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,M League Pte Ltd,Singapore,"17,76,236.9400",22750.5096,Received in the company
451,SYNERGYBYTE INFOTAINMENT PRIVATE LIMITED,HARYANA,Gurgaon,OTHER EDUCATIONAL SERVICES N.E.C.,GOPINATH LATPATE,U.S.A,"17,38,372.0000",22483.0282,Received in the Company
452,"AMPLUS PAVAGADA SOLAR ENERGY TWO
PRIVATE LIMITED",HARYANA,Gurgaon,"Electric power generation using
solar energy",Amplus Energy Solutions Pte. Ltd.,Singapore,"16,50,000.0000",21662.6974,"Received in the
company"
453,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"16,42,346.6400",21562.2171,Received in the
,,,,,,,,,company
454,Akhin Aluminium Private Limited,MAHARASHTRA,Pune,"Manufacture of Aluminium from alumina and by other methods and products of aluminium and
alloys",ULRICH PETER PURKART,Germany,"16,58,475.0000",21449.6898,Received in the Company
455,SIPLY Services Private Limited,KARNATAKA,Bengaluru,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",GOPINATH LATPATE,U.S.A,"16,64,000.0000",21312.9494,Received in the company
456,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"16,16,681.4300",21225.2609,"Received in
the company"
457,SURVEY2CONNECT PRIVATE LIMITED,HARYANA,Gurgaon,Data processing activities including report writing,SurveyToConnect Technology Solutions- FZCO,UAE,"16,33,475.4600",20921.9831,Received in the company
458,SUNSTONE EDUCATION TECHNOLOGY PRIVATE LIMITED,DELHI,North West Delhi,EDUCATION,SEABRIGHT III LTD,Mauritius,"16,09,741.1100",20617.9873,Received in the company
459,Merabo Labs Private Limited,RAJASTHAN,Jaipur,"Other non- specialised
wholesale trade n.e.c.","DF International Partners II, LLC",Cayman Islands,"15,77,541.0000",20205.5598,Received in the company
460,Origin Learning Solutions Private Limited,TAMIL NADU,Chennai,"Other information technology and computer service
activities n.e.c",Plato eLearning LLC,U.S.A,"15,35,874.9300",20164.3599,Received in the company
461,MARKET PULSE TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related
activities n.e.c.",Aureusfin Limited,Belgium,"15,64,000.0000",20032.1231,Received in the company
462,EDUVANZ FINANCING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Financial leasing,SCI INVESTMENTS VI,Mauritius,"15,10,342.6800",19829.1493,Received in the company
463,Milk Mantra Dairy Private Limited,ODISHA,Khorda,"Manufacture of pasteurised milk whether or not in
bottles/ polythene",FIL CAPITAL INVESTMENTS (MAURITIUS) II LIMITED,Mauritius,"15,23,066.5800",19507.8371,Received in the company
,,,,packs etc. (plain or flavoured),,,,,
464,Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,"15,00,000.0000",19400.0722,Received in the Company
465,PICKRR TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,Courier activities,Pickrr Holding LLC,U.S.A,"14,77,293.7500",19395.253,"Received in
the company"
466,PICKRR TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,Courier activities,Pickrr Holding LLC,U.S.A,"14,96,991.0000",19361.1556,Received in the Company
467,AEGIS INFO BUSINESS SOLUTION PRIVATE LIMITED,TAMIL NADU,Chennai,"Other information technology and
computer service activities n.e.c",Aegis Company,U.S.A,"14,03,250.0000",18423.1394,Received in the company
468,KROSS KOMICS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other creative arts and entertainment
activities",Kross Komics INC,South Korea,"14,10,500.0000",18242.5345,"Received in the
Company"
469,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,"LIGHTROCK GROWTH FUND I S.A., SICAV-RAIF FOR THE ACCOUNT OF ITS SUB-FUND LIGHTROCK
GLOBAL FUND",Luxembourg,"13,82,579.9100",17881.4334,Received in the Company
470,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"13,82,579.9100",17881.4334,Received in the Company
471,Juicy Chemistry Private Limited,TAMIL NADU,Coimbatore,"Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations;
personal",VERLINVEST S.A,Belgium,"12,97,641.6000",16620.5347,Received in the company
,,,,deodorants and anti-respirants; perfumed bath bath salts and other bath prepa,,,,,
472,KILLICK GUARD SPECIALITY PRODUCTS LIMITED,MAHARASHTRA,Thane,"Manufacture of paints, varnishes and similar coatings,
printing ink and mastics",Guard Industrie S.A.S,France,"12,97,075.0000",16613.2776,Received in the company
473,"PROMETHEAN SPENTA TECHNOLOGIES
PRIVATE LIMITED",MAHARASHTRA,THANE,"Manufacture of machinery for the
dairy industry",Promethean Power Systems Inc.,U.S.A,"12,50,000.0000",16411.1344,"Received in the
company"
474,"BONFIGLIOLI RENEWABLE POWER
CONVERSION INDIA PRIVATE LIMITED",TAMIL NADU,Kanchipuram,Manufacture of other electrical equipment,BONFIGLIOLI VECTRON GMBH,Germany,"12,49,500.0000",16003.9245,Received in the company
475,"SARANGA GEOSOFTWARE AND ENGINEERING SERVICES PRIVATE
LIMITED",KERALA,Ernakulam,Providing software support and maintenance to the clients,IMMCO INC,Georgia,"12,18,780.0000",15762.9466,Received in the Company
476,SURVEY2CONNECT PRIVATE LIMITED,HARYANA,Gurgaon,Data processing activities including report writing,SurveyToConnect Technology Solutions- FZCO,UAE,"12,15,295.3900",15565.8228,Received in the company
477,DIVERGENT RESEARCH AND CONSULTING PRIVATE LIMITED,KARNATAKA,Bengaluru,Market research and public opinion polling,Divergent Insights Pte Ltd.,Singapore,"11,76,988.2300",15452.5696,Received in the company
478,Loadshare Networks Private Limited,KARNATAKA,Bengaluru,"Cargo handling incidental to land
transport",57 Stars SVC LLC,U.S.A,"11,89,320.0000",15381.9292,"Received in the
Company"
479,"AAACLOUD TELEPHONY PRIVATE
LIMITED",DELHI,South Delhi,"Other telecommunications
activities",MR. ADITYA SINGH AHLUWALIA,U.S.A,"12,00,000.0000",15369.9154,"Received in the
company"
480,Strabag Infrastructure and Safety Solutions Private Limited,HARYANA,Gurgaon,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Strabag Infrastructure and Safety Soutions GmbH,Austria,"11,74,282.5600",15187.4443,Received in the Company
481,Sathyam Green Power,RAJASTHAN,Nagaur,Electric power,Focal Biomass Holdings,Cyprus,"11,51,400.0000",15116.6241,Greenfield
,Private Limited,,,generation using other non conventional sources,Limited,,,,
482,LEIXIR RESOURCES PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental
instruments, artific",Leixir Intermediate Corp,U.S.A,"11,39,675.6200",14962.6958,Received in the company
483,Vista India Digitek Pvt. Ltd.,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",ZOO Digital Limited,United Kingdom,"11,52,466.4600",14905.2883,Received in the Company
484,PICKRR TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,Courier activities,Pickrr Holding LLC,U.S.A,"11,22,743.2500",14740.3923,"Received in the
company"
485,FOURDEGREEWATER CAPITAL PRIVATE LIMITED,MAHARASHTRA,Nashik,"Other information technology and computer service
activities n.e.c","Fund I, a series of 1947 Rise, LP",U.S.A,"11,02,640.8500",14476.4697,Received in the company
486,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Udupi,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",HALINA SASTRY VANGALA,United Kingdom,"10,99,680.0000",14222.5809,Received in the Company
487,KURLON ENTERPRISE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of mattresses and
pillows",REGHUPATHI HARIHARAN,U.S.A,"11,10,166.5000",14219.3044,"Received in the
company"
488,NINEBOARDS TECHNOLOGIES INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,Computer consultancy and computer facilities management activities,Nine Boards LLC,U.S.A,"10,25,000.0000",13457.1302,Received in the company
489,RAMPEX LABS PRIVATE,TELANGANA,Medak,Manufacture of,RANGA NB GORREPATI,U.S.A,"10,21,608.0000",13412.5969,Received in
,LIMITED,,,"pharmaceuticals, medicinal chemical and botanical products",,,,,the company
490,POCKVUE SOLUTIONS PRIVATE LIMITED,HARYANA,Gurgaon,Publishing of operating business and other applications,Pockvue Solutions Inc,U.S.A,"10,36,000.0000",13398.9832,Received in the Company
491,POCKVUE SOLUTIONS PRIVATE LIMITED,HARYANA,Gurgaon,"Publishing of operating business
and other applications",Pockvue Solutions Inc.,U.S.A,"10,36,000.0000",13398.9832,Received in the Company
492,DRSR LOGISTICS SERVICES PRIVATE LIMITED,TAMIL NADU,Madurai,Sale of motor vehicle parts and accessories,MAHOGANY SINGAPORE COMPANY PTE LTD,Singapore,"10,00,000.0000",13128.9075,Received in the company
493,Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated
wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,"10,00,000.0000",13128.9075,Received in the company
494,Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated
wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,"10,00,000.0000",13128.9075,Received in the company
495,STEAM TURBINE ENGINEERING INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Machining; treatment and coating of metals,"PPS CR Acquisition, Inc",U.S.A,"10,01,498.8500",12952.7666,Received in the Company
496,VOGO AUTOMOTIVE,TAMIL NADU,Chennai,Renting and leasing,CHALO MOBILITY PTE.LTD,Singapore,"9,80,912.6800",12878.3118,Received in
,PRIVATE LIMITED,,,of motor vehicles,,,,,the company
497,Give Vinduet Windows and Doors Private Limited,KERALA,Ernakulam,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue- laminated and metal connected, prefabricated wooden roof tr",Redribbon Modulex Buildings Limited,Mauritius,"10,00,000.0000",12808.2629,Received in the company
498,"APPAREL GATEWAY
CAFE INDIA PRIVATE LIMITED",MAHARASHTRA,Mumbai,Restaurants without bars,AG CAFE INTERNATIONAL MANAGEMENT LTD,UAE,"9,99,990.0000",12808.1348,"Received in
the company"
499,STEAM TURBINE ENGINEERING INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Machining; treatment and coating of metals,"PPS CR Acquisition, Inc",U.S.A,"9,99,865.5300",12806.5405,Received in the company
500,EXCOMATIX INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",EXCOMATIX LLC,U.S.A,"9,89,890.0000",12802.625,Received in the Company
501,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"9,81,000.0000",12687.6472,Received in the Company
502,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"9,81,000.0000",12687.6472,Received in the Company
503,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"9,81,000.0000",12687.6472,Received in the Company
504,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"9,81,000.0000",12687.6472,Received in the Company
505,KETTO ONLINE VENTURES PRIVATE,MAHARASHTRA,Mumbai,"Other professional, scientific and",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"9,81,000.0000",12687.6472,Received in the
,LIMITED,,,technical activities n.e.c.,,,,,Company
506,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"9,81,000.0000",12687.6472,Received in the Company
507,JUPITICE JUSTICE TECHNOLOGIES PRIVATE LIMITED,CHANDIGARH,Chandigarh,"Providing software support and maintenance to the
clients",Rahul Kumar Yadav,UAE,"9,34,816.0000",12273.1128,Received in the company
508,ETTMA INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Providing software support and maintenance to the clients,Ettma Inc,U.S.A,"8,14,167.0000",10689.1232,Received in the company
509,Sunsole Renewables Private Limited,MAHARASHTRA,Mumbai,"Electric power generation using
solar energy",Cleantech India OA Pte. Ltd.,Singapore,"7,99,920.0000",10345.6705,"Received in the
Company"
510,Unosun Solar Private Limited,MAHARASHTRA,Mumbai,"Electric power generation using
solar energy",Cleantech India OA PTE LTD,Singapore,"7,99,920.0000",10345.6705,Greenfield
511,Loadshare Networks Private Limited,KARNATAKA,Bengaluru,"Cargo handling incidental to land
transport","Matrix Partners India Investments II Extension
LLC",Mauritius,"7,43,325.0000",9759.0452,"Received in the
company"
512,Datascape Realty Private Limited,MAHARASHTRA,Thane,"Other data processing, hosting
and related activities n.e.c.",ASCENDAS PROPERTY FUND (INDIA) PTE. LTD.,Singapore,"7,34,061.0000",9493.8909,Received in the Company
513,POCKVUE SOLUTIONS PRIVATE LIMITED,HARYANA,Gurgaon,"Publishing of operating business and other
applications",Pockvue Solutions Inc,U.S.A,"7,28,000.0000",9415.5017,Received in the Company
514,TRANSPIPE INTEGRITY SOLUTIONS PRIVATE LIMITED,GUJARAT,Vadodara,Other non- specialised wholesale trade n.e.c.,Trans-Asia Pipeline Services Pte.Ltd,Singapore,"7,35,000.0000",9414.0732,Received in the company
515,CHECKSUM INFOSOFT PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Pramod Kalyanasundaram,U.S.A,"6,87,750.0000",9029.4061,Received in the company
516,O(1) INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service",Glance InMobi Pte. Ltd.,Singapore,"6,95,885.3700",8913.0827,"Received in the
company"
,,,,activities n.e.c,,,,,
517,NJC LABS CONSULTING & SERVICES PRIVATE LIMITED,KERALA,ERNAKULAM,Other information technology and computer service activities n.e.c,NJC LABS LIMITED,United Kingdom,"6,69,133.8200",8570.4419,GREENFIELD
518,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"6,29,697.5100",8267.2404,Received in the company
519,PICKRR TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,Courier activities,Pickrr Holding LLC,U.S.A,"6,10,614.7500",7820.9142,"Received in
the company"
520,PTS INDUSTRIAL AND PIPELINE TECHNOLOGIES (INDIA) PRIVATE LIMITED,KARNATAKA,Udupi,"Construction and maintenance of industrial facilities such as refineries
chemical plants etc.",PTS (SA) LIMITED,United Kingdom,"6,02,577.0000",7717.9646,Received in the company
521,JPM & DJM ENTERPRISES SERVICES PRIVATE LIMITED,MAHARASHTRA,Thane,Other business support service activities n.e.c,"Stewart-India Company, LLC",U.S.A,"5,73,891.1000",7534.5632,Received in the company
522,NEEV LABS IT SOLUTIONS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Neev Tech Labs Pty Ltd.,Australia,"5,74,074.5700",7352.898,Received in the company
523,LOGICSERVE DIGITAL PRIVATE LIMITED,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,LOGICSERVE LDA,Portugal,"5,61,654.0000",7264.0854,Received in the Company
524,REVSURE AI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",REVSURE. AI INC,U.S.A,"5,49,450.0000",7213.6782,Received in the company
525,LOGICSERVE DIGITAL PRIVATE LIMITED,MAHARASHTRA,Thane,"Other information technology and computer service
activities n.e.c",LOGICSERVE LDA,Portugal,"5,61,654.0000",7193.8121,Received in the company
526,"RMZ NORTH STAR PROJECTS PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Real estate activities with own or leased
property",BSREP III NEW YORK II (DIFC) LIMITED,UAE,"5,52,981.4300",7151.9198,"Received in the
Company"
527,COMSENSE,MAHARASHTRA,Pune,Other information,Copernicus Consulting PTE,Singapore,"5,25,285.5000",6896.4247,Received in
,TECHNOLOGIES PRIVATE LIMITED,,,technology and computer service activities n.e.c,LTD,,,,the company
528,GRTSA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Three State Capital Pte. Ltd.,Singapore,"5,24,412.0000",6716.8067,Received in the company
529,GLOBUS OUTSOURCING PRIVATE LIMITED,GUJARAT,Ahmedabad,Activities of employment placement agencies,Nicholson Carter Limited,United Kingdom,"5,13,000.0000",6634.8247,Received in the Company
530,FOLD HEALTH INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Fold Health INC,U.S.A,"4,99,990.0000",6564.3225,Received in the company
531,ORETA INDIA PRIVATE LIMITED,CHANDIGARH,Chandigarh,"Other information service activities
n.e.c.",Conrade Pty Ltd.,Australia,"4,99,990.0000",6564.3225,"Received in the
company"
532,VALUEDATA SOFTWARE SOLUTIONS PRIVATE LIMITED,KARNATAKA,Dharwad,"Providing software support and maintenance to the
clients",CPM INTERNATIONAL PTY LTD,Australia,"4,99,900.0000",6563.1409,Received in the company
533,PRESTIGE CITY ESTATES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",CPP Investment Board Private Holdings (4) Inc,Canada,"5,10,000.0000",6532.2141,Received in the company
534,Invia Private Limited,HARYANA,Gurgaon,Providing software support and maintenance to the clients,Invia Pty Ltd,Australia,"5,00,000.0000",6404.1314,Received in the company
535,Invia Private Limited,HARYANA,Gurgaon,"Providing software support and maintenance to the
clients",INVIA PTY LTD,Australia,"4,90,000.0000",6337.3569,Received in the Company
536,Nexturn India Private Limited,TELANGANA,Hyderabad,"Other information technology and computer service
activities n.e.c",Nexturn INC,U.S.A,"4,91,500.0000",6295.2612,Received in the company
537,RECURSION INTERNATIONAL PRIVATE LIMITED,HARYANA,Panipat,"Other information technology and computer service
activities n.e.c",PUSTACK TECHNOLOGIES INC,U.S.A,"4,90,000.0000",6276.0488,Received in the company
538,COMSENSE TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Copernicus Consulting PTE LTD,Singapore,"4,79,608.5000",6202.9597,Received in the Company
539,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"4,68,930.8000",6156.5491,Received in the company
