"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
218,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"1,75,76,970.8400",,233201.3777,,Received in the company,
219,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,Providing software support and maintenance to the clients,,EXXAT INC,,U.S.A,,"1,70,91,985.0000",,228150.7916,,Received in the company,
220,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"1,68,73,915.6300",,226506.153,,Received in the Company,
221,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"1,68,73,915.6300",,226506.153,,Received in the Company,
222,,Duroflex Private Limited,,KERALA,,Alappuzha,,Manufacture of mattresses and pillows,,Norwest Capital LLC,,U.S.A,,"1,68,47,824.0000",,223527.4669,,Received in the company,
223,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"1,66,34,864.0000",,223297.2556,,Received in the Company,
224,,TARGETONE INNOVATIONS PRIVATE LIMITED,,DELHI,,West Delhi,,Maintenance and repair of motor vehicles,,SCI Investments VI,,Mauritius,,"1,66,85,100.0000",,221368.5363,,"Received in the
company",
225,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"1,63,67,321.5200",,219705.9126,,Received in the Company,
226,,Simplilearn Solutions Private Limited,,KARNATAKA,,Bengaluru,,OTHER EDUCATIONAL SERVICES N.E.C.,,BCP TOPCO XI PTE.LTD,,Singapore,,"1,61,12,056.0800",,213765.7114,,"Received in
the company",
227,,Freightbro Logistics Private,,TAMIL NADU,,Kanchipuram,,Cargo handling incidental to,,Tradeworks Investments 1,,Singapore,,"1,55,77,828.2900",,209108.1902,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,Limited,,,,,,water transport,,Pte Ltd,,,,,,,,the Company,
228,,INFOCON SERVICES PRIVATE LIMITED,,DELHI,,NEW DELHI,,Architectural and engineering activities and related technical consultancy,,AMBERG ENGINEERING AG,,Switzerland,,"1,56,00,000.0000",,206972.0389,,Greenfield,
229,,The Souled Store Private Limited,,MAHARASHTRA,,Mumbai,,Retail sale via e-commerce,,ELEVATION CAPITAL VII LIMITED,,Mauritius,,"1,55,00,056.4000",,206901.079,,Received in the company,
230,,The Souled Store Private Limited,,MAHARASHTRA,,Mumbai,,Retail sale via e-commerce,,Elevation Capital VII Limited,,Mauritius,,"1,55,00,056.4000",,206901.079,,Received in the company,
231,,The Souled Store Private Limited,,MAHARASHTRA,,Mumbai,,Retail sale via e-commerce,,ELEVATION CAPITAL VII LIMITED,,Mauritius,,"1,55,00,056.4000",,206901.079,,"Received in the
company",
232,,INVERTEDI IT CONSULTANCY PRIVATE LIMITED,,CHANDIGARH,,Chandigarh,,Other information technology and computer service activities n.e.c,,ENSEMBLE RCM LLC,,U.S.A,,"1,46,78,334.0000",,197033.8741,,Received in the Company,
233,,INVERTEDI IT CONSULTANCY PRIVATE LIMITED,,CHANDIGARH,,Chandigarh,,Other information technology and computer service activities n.e.c,,"ENSEMBLE RCM, LLC",,U.S.A,,"1,46,78,334.0000",,194743.892,,Received in the company,
234,,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Eight Roads Ventures India III LP,,Bermuda,,"1,43,97,300.0000",,193261.4284,,Received in the Company,
235,,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Eight Roads Ventures India III LP,,Bermuda,,"1,43,97,300.0000",,192181.0365,,Received in the company,
236,,AVYATEKH-K AERONAUTICS PRIVATE LIMITED,,DELHI,,East Delhi,,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",,ROYAL STAR GENERAL TRADING LLC,,UAE,,"1,42,10,000.0000",,188530.2995,,Received in the company,
237,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"1,31,68,000.0000",,175771.8383,,Received in the company,
238,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"1,31,50,000.0000",,175531.567,,Received in the company,
239,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related
products",,Trans Asia Petroleum Inc.,,Mauritius,,"1,28,45,500.0000",,171466.9767,,"Received in the
company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
240,,MANNA HEALTHCARE PRIVATE LIMITED,,DELHI,,North West Delhi,,Telephone based information services,,Roundglass LLC,,U.S.A,,"1,26,08,717.7600",,169252.4852,,Received in the Company,
241,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"1,26,50,000.0000",,168857.3629,,Received in the company,
242,,ENMOVIL SOLUTIONS PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,Emergent India Opportunities Fund Mauritius,,Mauritius,,"1,24,98,960.0000",,167779.1574,,Received in the Company,
243,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"1,19,96,500.0000",,161034.411,,Received in the Company,
244,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"1,19,70,000.0000",,160678.6896,,Received in the Company,
245,,VARANA INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR Chennai 2 Pte. Ltd.,,Singapore,,"1,19,44,424.4000",,160335.3768,,Greenfield,
246,,SCHOOL OF HOSPITALITY INDIA PRIVATE LIMITED,,HARYANA,,Gurgaon,,Higher education in management courses leading to a degree or equivalent,,SOMMET EDUCATION SARL,,Switzerland,,"1,17,90,792.0000",,156433.6064,,Received in the company,
247,,PAN ASIA LOGISTICS INDIA PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Motorised road freight transport,,Pan Asia (S) Pte. Ltd.,,Singapore,,"1,12,95,000.0000",,151617.8612,,Received in the Company,
248,,PAN ASIA LOGISTICS INDIA PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Motorised road freight transport,,Pan Asia (S) Pte. Ltd.,,Singapore,,"1,12,50,000.0000",,151013.806,,Received in the Company,
249,,PAN ASIA LOGISTICS INDIA PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Motorised road freight transport,,Pan Asia (S) Pte. Ltd.,,Singapore,,"1,09,80,000.0000",,147389.4747,,"Received in
the Company",
250,,PAN ASIA LOGISTICS INDIA PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Motorised road freight transport,,Pan Asia (S) Pte. Ltd.,,Singapore,,"1,09,80,000.0000",,147389.4747,,Received in the Company,
251,,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,Arpan Sheth,,U.S.A,,"1,09,41,435.0000",,146871.7993,,Received in the Company,
252,,AVAANA ADVISORY SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Management consultancy activities,,SAB Holdings Private Limited,,Mauritius,,"1,10,00,000.0000",,146832.4895,,"Received in the
company",
253,,AMICA FINANCIAL TECHNOLOGIES PRIVATE,,MAHARASHTRA,,Mumbai,,Other information technology and computer service,,Amrish Bairavarasu Rau,,Singapore,,"1,09,73,077.6000",,145584.631,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,LIMITED,,,,,,activities n.e.c,,,,,,,,,,company,
254,,INVERTEDI IT CONSULTANCY PRIVATE LIMITED,,CHANDIGARH,,Chandigarh,,Other information technology and computer service activities n.e.c,,"ENSEMBLE RCM, LLC",,U.S.A,,"1,08,69,578.8000",,144211.467,,Received in the company,
255,,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Eight Roads Ventures India III LP,,Bermuda,,"1,07,97,975.0000",,144135.7773,,Received in the company,
256,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"1,06,57,787.1400",,143064.2666,,Received in the Company,
257,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"1,06,45,890.9700",,141243.7025,,Received in the company,
258,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"1,06,45,890.9700",,141243.7025,,Received in the company,
259,,ReNew Power Private Limited,,DELHI,,South West Delhi,,Electric power generation using other non conventional sources,,RENEW ENERGY GLOBAL PLC,,United Kingdom,,"1,00,56,060.1600",,134232.3953,,Received in the company,
260,,Homevista Decor and Furnishings Private Limited,,KARNATAKA,,Bengaluru,,Activities of interior decorators,,Sequoia Capital India Investments IV,,Mauritius,,"97,23,159.0500",,130518.3337,,Received in the Company,
261,,Tomasetto Achille India Private Limited,,MAHARASHTRA,,Thane,,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, ste",,Tomasetto Achille SPA,,Italy,,"95,00,000.0000",,127522.7695,,Received in the Company,
262,,AAB INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR India Fund Spv 12 Pte. Ltd.,,Singapore,,"94,41,791.3000",,126741.408,,Greenfield,
263,,SCHOOL OF HOSPITALITY INDIA PRIVATE LIMITED,,HARYANA,,Gurgaon,,Higher education in management courses leading to a degree or equivalent,,SOMMET EDUCATION SARL,,Switzerland,,"94,31,600.0000",,125133.1719,,Received in the company,
264,,MEDDIFF TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Ramsoft Holdings INc,,Canada,,"92,80,176.0000",,123875.5768,,Received in the company,
265,,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",,KARNATAKA,,Bengaluru,,Manufacture of other fabricated metal products n.e.c.,,D1 Capital Partners Master LP,,Cayman Islands,,"91,88,960.0000",,122657.9884,,Received in the company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
266,,GOOD ROOTS KITCHENWARE PRIVATE LIMITED,,TAMIL NADU,,Chennai,,"Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)",,DSG Consumer Partners III,,Mauritius,,"89,67,700.0000",,120377.4674,,Received in the Company,
267,,GATHI ANALYTICS PRIVATE LIMITED,,TELANGANA,,K.V.Rangareddy,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,GATHI ANALYTICS LLC,,U.S.A,,"87,22,550.6600",,117086.7176,,Received in the Company,
268,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"87,60,648.0000",,116940.705,,Received in the company,
269,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"84,36,915.6300",,113252.5103,,Received in the Company,
270,,Wow Momo Foods Private Limited,,WEST BENGAL,,Kolkata,,"Cafeterias, fast-food restaurants and other food preparation in market stalls",,INTERNET FUND V PTE LTD,,Singapore,,"81,75,905.0400",,109748.8478,,Received in the Company,
271,,Simplilearn Solutions Private Limited,,KARNATAKA,,Bengaluru,,OTHER EDUCATIONAL SERVICES N.E.C.,,BCP TOPCO XI PTE LTD,,Singapore,,"82,58,170.8700",,109564.7732,,Received in the company,
272,,ASTER DM HEALTHCARE LIMITED,,KARNATAKA,,Bengaluru,,Hospital activities,,Alaeddin Ahmad Yousef Atari,,UAE,,"81,14,100.0000",,108919.211,,Received in the Company,
273,,"Analog Legalhub Technology Solutions
Private Limited",,HARYANA,,Panchkula,,"Other information technology and computer service
activities n.e.c",,TANGLIN VENTURE MASTER FUND II PTE. LTD.,,Singapore,,"80,35,839.1300",,107265.6604,,"Received in the
company",
274,,Helea Technology private Limited,,MAHARASHTRA,,Thane,,Providing software support and maintenance to the clients,,Mensa Brand Technologies Pte Ltd,,Singapore,,"79,99,999.7400",,106139.5037,,Received in the company,
275,,GREEN URJA PRIVATE LIMITED,,DELHI,,South Delhi,,Electric power generation using solar energy,,JLT Energy 9 SAS,,France,,"78,32,271.2000",,105136.0963,,Received in the Company,
276,,GOOD ROOTS KITCHENWARE PRIVATE LIMITED,,TAMIL NADU,,Chennai,,"Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils,
small hand-operated kitchen appliances and accessories)",,DSG Consumer Partners III,,Mauritius,,"77,69,036.0000",,103704.2633,,Received in the company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
277,,EDUVANZ FINANCING PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Financial leasing,,SCI INVESTMENTS VI,,Mauritius,,"76,58,512.8000",,101608.8467,,Received in the company,
278,,ANALYTIC EDGE PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Analytic Edge Pte. Ltd,,Singapore,,"74,57,761.9300",,98945.3969,,Brownfield,
279,,ANALYTIC EDGE PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Analytic Edge Pte. Ltd,,Singapore,,"74,17,773.8500",,98414.8575,,Brownfield,
280,,CONGRUENT IT SERVICES PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Providing software support and maintenance to the clients,,Poonam Vijay Gyanchandani,,South Africa,,"72,25,224.2000",,96987.4316,,Received in the Company,
281,,Ivypods Technology Private Limited,,HARYANA,,Gurgaon,,OTHER EDUCATIONAL SERVICES N.E.C.,,Elevation Capital VII Limited,,Mauritius,,"72,16,300.0000",,96326.1176,,Received in the company,
282,,VARANA INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR Chennai 2 Pte. Ltd.,,Singapore,,"70,26,132.0000",,94314.9275,,Greenfield,
283,,OFB TECH PRIVATE LIMITED,,DELHI,,South West Delhi,,Other non-specialised wholesale trade n.e.c.,,"MATRIX PARTNERS INDIA INVESTMENT HOLDINGS II, LLC",,Mauritius,,"69,91,749.2400",,92762.6023,,Received in the company,
284,,INDIA SHELTER FINANCE CORPORATION LIMITED,,HARYANA,,Gurgaon,,Other credit granting,,Starrock,,Mauritius,,"68,88,000.0000",,91943.8352,,Received in the company,
285,,WINTAC LIMITED,,KARNATAKA,,Bangalore Rural,,Manufacture of allopathic pharmaceutical preparations,,VEEGO PHARMA LLC,,U.S.A,,"67,24,200.0000",,89757.366,,Brownfield,
286,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,"Providing software support and maintenance to the
clients",,EXXAT INC,,U.S.A,,"66,51,736.0000",,88790.0869,,"Received in the
company",
287,,apalya technologies private limited,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,YUPP VIDEO SERVICES LLC,,U.S.A,,"65,74,002.0000",,88245.7834,,Received in the Company,
288,,ENSUREDIT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Other information technology
and computer service activities n.e.c",,Nexstep Discovery Pte. Ltd.,,Singapore,,"62,45,724.0000",,83839.1602,,"Received in
the Company",
289,,Homevista Decor and Furnishings Private Limited,,KARNATAKA,,Bengaluru,,Activities of interior decorators,,Accel India IV (Mauritius) Limited,,Mauritius,,"63,16,062.6100",,83797.9715,,Received in the company,
290,,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"61,74,213.4700",,82879.2422,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
291,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,Providing software support and maintenance to the clients,,EXXAT INC,,U.S.A,,"61,45,423.0000",,82031.6144,,Received in the company,
292,,ADGLOBAL360 INDIA PRIVATE LIMITED,,DELHI,,North West Delhi,,"Other data processing, hosting and related activities n.e.c.",,Hakuhodo Investment Singapore Pte. Ltd,,Singapore,,"59,77,162.0100",,80234.1319,,Received in the Company,
293,,CONGRUENT IT SERVICES PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Providing software support and maintenance to the clients,,Kamya Sunil Pamnani,,Singapore,,"59,72,000.0000",,79716.6934,,Received in the company,
294,,GLITCH MEDIA PRIVATE LTD,,MAHARASHTRA,,Mumbai,,Advertising,,RUSSELL SQUARE HOLDING B.V.,,Netherland,,"59,20,319.0000",,79026.8343,,Received in the company,
295,,ORANGE TREE TECHNOLOGIES PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other professional, scientific and technical activities n.e.c.",,Momentx Corporation,,U.S.A,,"57,94,515.0000",,77782.379,,Received in the Company,
296,,ORANGE TREE TECHNOLOGIES PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other professional, scientific and technical activities n.e.c.",,Momentx Corporation,,U.S.A,,"57,94,515.0000",,76878.3708,,Received in the company,
297,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"55,89,475.4000",,74158.0205,,Received in the company,
298,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,Providing software support and maintenance to the clients,,EXXAT INC,,U.S.A,,"55,43,185.0000",,73992.6958,,Received in the company,
299,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,Providing software support and maintenance to the clients,,EXXAT INC,,U.S.A,,"55,43,185.0000",,73992.6958,,Received in the company,
300,,APTY SOFTWARE PRIVATE LIMITED,,Telangana,,Hyderabad,,"Other information technology
and computer service activities n.e.c",,APTY INC,,U.S.A,,"55,10,310.0000",,73967.3676,,"Received in
the Company",
301,,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,,DELHI,,South Delhi,,Other amusement and recreation activities n.e.c.,,M League Pte Ltd,,Singapore,,"54,76,160.4500",,73098.0247,,Received in the company,
302,,apalya technologies private limited,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,YUPP VIDEO SERVICES LLC,,U.S.A,,"53,17,130.0000",,71374.2256,,Received in the Company,
303,,SRI ENERGY VALVES PVT LTD,,TAMIL NADU,,Pudukkottai,,"Manufacture of other pumps, compressors, taps and valves
etc.",,Alagarsamy Sundararajan,,U.S.A,,"52,65,964.5000",,70292.2434,,"Received in the
company",
304,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet",,TECHNOPRO HOLDINGS INC,,Japan,,"51,10,378.0000",,68215.4113,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,the needs of a particular client excluding web-page designing,,,,,,,,,,company,
305,,Ivypods Technology Private Limited,,HARYANA,,Gurgaon,,OTHER EDUCATIONAL SERVICES N.E.C.,,Elevation Capital VII Limited,,Mauritius,,"49,07,084.0000",,65501.76,,Received in the company,
306,,PLASMAGEN BIOSCIENCES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Wholesale of pharmaceutical and medical goods,,EIGHT ROADS INVESTMENTS MAURITIUS II LIMITED,,Mauritius,,"47,60,100.0000",,63539.7576,,Received in the company,
307,,ENSUREDIT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Nexstep Discovery Pte. Ltd,,Singapore,,"47,26,490.0000",,62708.4149,,Received in the company,
308,,Moback Technologies India Private Limited,,KARNATAKA,,Bengaluru,,"Other information technology and computer service
activities n.e.c",,Moback Inc.,,U.S.A,,"44,98,200.0000",,60381.3602,,"Received in the
Company",
309,,Empire Aircraft Management Services Private Limited,,DELHI,,South West Delhi,,"Charters, excursions and other occasional coach services",,KPM Aviation Holding Pte Ltd.,,Singapore,,"44,84,628.0000",,60199.1771,,Received in the Company,
310,,Moback Technologies India Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Moback Inc.,,U.S.A,,"45,00,000.0000",,60067.8366,,Received in the company,
311,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,Providing software support and maintenance to the clients,,EXXAT INC,,U.S.A,,"44,37,941.0000",,59239.4477,,Received in the company,
312,,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"44,10,967.6600",,58879.3966,,Received in the company,
313,,Homevista Decor and Furnishings Private Limited,,KARNATAKA,,Bengaluru,,Activities of interior decorators,,Evolvence India Fund III Ltd,,Mauritius,,"44,33,236.6100",,58817.6936,,Received in the company,
314,,MONARCH INFO TECH SERVICES PRIVATE LIMITED,,Telangana,,Hyderabad,,Providing software support and maintenance to the clients,,Raghu Prasad Chittimalla,,U.S.A,,"44,31,470.0000",,58794.2552,,Received in the company,
315,,apalya technologies private limited,,TELANGANA,,Hyderabad,,"Other information technology and computer service
activities n.e.c",,YUPP VIDEO SERVICES LLC,,U.S.A,,"42,43,596.0000",,56301.6485,,"Received in the
company",
316,,MANNA HEALTHCARE PRIVATE LIMITED,,DELHI,,North West Delhi,,Telephone based information services,,Roundglass LLC,,U.S.A,,"42,02,905.9200",,56102.1036,,Received in the company,
317,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance
and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"41,20,887.8000",,55316.529,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
318,,FUJI ELECTRIC CONSUL NEOWATT PRIVATE LIMITED,,TAMIL NADU,,Kanchipuram,,Manufacture of other electrical equipment,,FUJI ELECTRIC CO. LTD,,Japan,,"39,75,101.0000",,53359.5672,,Received in the Company,
319,,WINTAC LIMITED,,KARNATAKA,,Bangalore Rural,,Manufacture of allopathic pharmaceutical preparations,,VEEGO PHARMA LLC,,U.S.A,,"39,63,750.0000",,53207.1977,,Brownfield,
320,,ZENON ANALYTICS PRIVATE LIMITED,,UTTAR PRADESH,,Gautam Buddha Nagar,,Other information technology and computer service activities n.e.c,,Zenon LLC and Arnab Gupta (nominee shareholder),,U.S.A,,"38,75,000.0000",,51411.3238,,Received in the company,
321,,Ivypods Technology Private Limited,,HARYANA,,Gurgaon,,OTHER EDUCATIONAL SERVICES N.E.C.,,Elevation Capital VII Limited,,Mauritius,,"38,24,639.0000",,51052.8423,,Received in the company,
322,,Tata 1MG Technologies Private Limited (formerly known as 1MG Technologies Private Limited),,DELHI,,South West Delhi,,Other information service activities n.e.c.,,Koreaomega-Redwood Global Healthcare Fund,,South Korea,,"38,20,383.5700",,50996.0391,,Received in the company,
323,,UNIPHORE SOFTWARE SYSTEMS PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Data processing activities including report writing,,John David Rainey Jr Revocable Trust,,U.S.A,,"37,86,151.6000",,50539.0968,,Received in the company,
324,,SWIFIC TECHNOLOGY PRIVATE LIMITED,,RAJASTHAN,,Jaipur,,Publishing of operating business and other applications,,"Lightspeed India Partners III, LLC",,Mauritius,,"37,95,509.1300",,50356.6835,,Received in the company,
325,,apalya technologies private limited,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,YUPP VIDEO SERVICES LLC,,U.S.A,,"37,93,967.0000",,50336.2234,,Received in the company,
326,,TALENTQUEST SOLUTIONS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,TALENTQUEST LLC,,U.S.A,,"37,14,952.3200",,49588.6998,,Received in the company,
327,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"35,64,488.6600",,47580.2494,,Received in the company,
328,,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,Caesar Sengupta,,Singapore,,"35,49,472.5100",,47379.8077,,Received in the company,
329,,WISESOURCE SOLUTIONS PRIVATE LIMITED,,TAMIL NADU,,Kanchipuram,,Publishing of operating business and other applications,,"Nine Up, LLC",,U.S.A,,"35,00,028.0000",,46982.4488,,Received in the Company,
330,,The Souled Store Private Limited,,MAHARASHTRA,,Mumbai,,Retail sale via e-commerce,,ELEVATION CAPITAL VII LIMITED,,Mauritius,,"34,99,881.7500",,46717.85,,"Received in
the company",
331,,VARANA INDUSTRIAL,,Tamil Nadu,,Chennai,,Other specialized construction,,ESR Chennai 2 Pte. Ltd.,,Singapore,,"35,12,948.9000",,46607.8331,,Greenfield,
